filename,label,ipd_px,left_eye_open,right_eye_open,eye_aperture_asymmetry,eye_aperture_ratio,mouth_corner_height_diff,mouth_left_deviation,mouth_right_deviation,mouth_deviation_asymmetry,left_brow_height,right_brow_height,brow_height_asymmetry,brow_height_ratio,mouth_width,mouth_angle,eye_angle,left_eye_width,right_eye_width,eye_width_asymmetry
1/10051,SlightPalsy,81.176,0.1706,0.1525,0.0181,0.8937,0.086,0.4592,0.3316,0.1276,0.4083,0.443,0.0347,0.9217,0.7955,6.2085,0.6126,0.4912,0.4211,0.0701
1/10056,SlightPalsy,80.966,0.1598,0.1438,0.016,0.9002,0.0909,0.4032,0.4104,0.0073,0.4116,0.4591,0.0475,0.8965,0.8186,6.3725,1.2921,0.439,0.4454,0.0064
1/10061,SlightPalsy,83.026,0.1659,0.1574,0.0084,0.9491,0.0873,0.3805,0.4168,0.0363,0.4071,0.4448,0.0377,0.9151,0.802,6.2493,0.714,0.4473,0.446,0.0014
1/10066,SlightPalsy,83.875,0.1615,0.1503,0.0112,0.9305,0.1232,0.3539,0.4519,0.098,0.4017,0.4482,0.0465,0.8962,0.8152,8.6937,0.7587,0.4376,0.4525,0.0149
1/10071,SlightPalsy,85.237,0.1681,0.1605,0.0077,0.9543,0.0984,0.3927,0.4058,0.0131,0.399,0.4369,0.0379,0.9132,0.8045,7.0227,0.4839,0.4467,0.4411,0.0056
1/10076,SlightPalsy,83.876,0.1522,0.1486,0.0036,0.9764,0.0812,0.4014,0.3988,0.0026,0.4033,0.4428,0.0395,0.9108,0.8044,5.7972,0.3705,0.4403,0.439,0.0013
1/10081,SlightPalsy,83.059,0.1523,0.1439,0.0083,0.9453,0.0749,0.3687,0.4647,0.096,0.4045,0.447,0.0424,0.905,0.8368,5.1386,1.0885,0.4439,0.4563,0.0124
1/10086,SlightPalsy,81.716,0.1542,0.1416,0.0126,0.9183,0.1117,0.3842,0.457,0.0728,0.3983,0.4365,0.0382,0.9124,0.8486,7.5651,0.965,0.4433,0.4433,0.0001
1/10091,SlightPalsy,81.225,0.1649,0.149,0.0159,0.9037,0.0906,0.3994,0.4615,0.0622,0.4234,0.4515,0.028,0.9379,0.8657,6.0069,0.3891,0.4467,0.4445,0.0022
1/10096,SlightPalsy,81.054,0.157,0.1444,0.0126,0.9197,0.1009,0.4072,0.447,0.0398,0.4115,0.4392,0.0278,0.9367,0.8601,6.7374,0.4466,0.4455,0.4385,0.007
1/10101,SlightPalsy,82.066,0.1594,0.1445,0.0149,0.9063,0.0817,0.4234,0.4049,0.0185,0.411,0.4333,0.0223,0.9484,0.8323,5.6328,0.9926,0.451,0.4282,0.0228
1/10106,SlightPalsy,81.22,0.1579,0.1437,0.0142,0.9101,0.0872,0.3812,0.4409,0.0596,0.3951,0.4192,0.0241,0.9426,0.8267,6.0557,1.1305,0.4419,0.4403,0.0017
1/10111,SlightPalsy,82.311,0.159,0.1527,0.0064,0.96,0.0604,0.3981,0.4225,0.0244,0.3933,0.4065,0.0131,0.9677,0.8229,4.2098,0.1816,0.4527,0.4453,0.0074
1/10116,SlightPalsy,82.661,0.158,0.1485,0.0095,0.9398,0.049,0.3916,0.4233,0.0317,0.397,0.4083,0.0113,0.9723,0.8163,3.4383,0.2875,0.4439,0.4426,0.0013
1/10121,SlightPalsy,83.146,0.1562,0.1496,0.0065,0.9583,0.0647,0.3852,0.4634,0.0782,0.3865,0.3981,0.0115,0.9711,0.851,4.3608,0.0826,0.4416,0.4507,0.009
1/10131,SlightPalsy,72.093,0.146,0.1271,0.0188,0.871,0.0877,0.4584,0.3303,0.128,0.43,0.4457,0.0157,0.9648,0.7935,6.3426,0.9523,0.4595,0.4075,0.052
1/10136,SlightPalsy,77.221,0.1501,0.1375,0.0127,0.9157,0.0653,0.3943,0.3848,0.0095,0.4349,0.4533,0.0183,0.9595,0.7819,4.7931,0.6768,0.4474,0.4405,0.0069
1/10141,SlightPalsy,81.135,0.1396,0.1374,0.0022,0.9842,0.0311,0.3545,0.3574,0.0029,0.4351,0.469,0.0339,0.9276,0.7125,2.5012,0.6527,0.4326,0.4273,0.0054
1/10146,SlightPalsy,82.819,0.1465,0.1366,0.0098,0.9329,0.0706,0.3941,0.3691,0.025,0.4378,0.4617,0.0239,0.9482,0.7665,5.2847,0.3251,0.4484,0.4232,0.0252
1/10151,SlightPalsy,83.438,0.1451,0.1345,0.0106,0.9271,0.0938,0.4236,0.3746,0.0489,0.4341,0.4608,0.0267,0.942,0.8037,6.7054,0.4612,0.4541,0.4203,0.0339
1/10156,SlightPalsy,84.669,0.1082,0.0582,0.0499,0.5382,0.1026,0.4033,0.3896,0.0138,0.4234,0.4503,0.0269,0.9403,0.7995,7.3752,0.1154,0.4493,0.443,0.0063
1/10161,SlightPalsy,83.375,0.1516,0.1377,0.0139,0.908,0.0669,0.4219,0.3714,0.0505,0.4171,0.4407,0.0236,0.9464,0.7961,4.8198,0.7203,0.4512,0.4186,0.0326
1/10166,SlightPalsy,81.436,0.1302,0.1079,0.0224,0.8282,0.0623,0.4062,0.3962,0.01,0.4273,0.4589,0.0316,0.931,0.8048,4.4407,1.3107,0.4487,0.4274,0.0213
1/10171,SlightPalsy,82.035,0.1163,0.0668,0.0495,0.5742,0.094,0.3502,0.3953,0.0451,0.3898,0.4074,0.0177,0.9567,0.7514,7.1861,0.3095,0.4578,0.4473,0.0105
1/10176,SlightPalsy,80.789,0.1607,0.1509,0.0098,0.9391,0.0466,0.398,0.3599,0.0381,0.3913,0.4097,0.0184,0.9552,0.7594,3.5192,0.0158,0.4577,0.4281,0.0296
1/10181,StrongPalsy,82.118,0.0986,0.0249,0.0737,0.2522,0.102,0.3627,0.4132,0.0505,0.4062,0.4188,0.0126,0.97,0.7825,7.4906,0.14,0.4462,0.4651,0.0189
1/10186,SlightPalsy,80.379,0.1577,0.1328,0.0249,0.842,0.1115,0.3995,0.4088,0.0093,0.4011,0.4236,0.0225,0.9469,0.8159,7.8571,0.5646,0.449,0.4282,0.0208
1/10191,SlightPalsy,80.872,0.1516,0.1253,0.0263,0.8264,0.1263,0.368,0.433,0.065,0.3976,0.4217,0.024,0.943,0.8109,8.9578,0.7627,0.4444,0.4297,0.0146
1/10196,StrongPalsy,84.937,0.1001,0.0385,0.0617,0.3841,0.0874,0.3513,0.3784,0.0271,0.3692,0.3924,0.0232,0.9409,0.7349,6.8269,1.3499,0.436,0.4554,0.0194
1/10236,SlightPalsy,82.132,0.1662,0.1437,0.0225,0.8645,0.1217,0.3785,0.4435,0.065,0.3981,0.405,0.0069,0.983,0.8309,8.4197,0.7417,0.4404,0.4393,0.0011
1/10241,SlightPalsy,82.984,0.1606,0.1516,0.009,0.9438,0.0672,0.3909,0.3372,0.0537,0.3871,0.4188,0.0317,0.9243,0.7311,5.277,0.0625,0.463,0.4312,0.0318
1/10246,SlightPalsy,82.981,0.1575,0.1545,0.003,0.9807,0.024,0.3853,0.2994,0.0859,0.4107,0.437,0.0263,0.9398,0.6851,2.0089,0.4932,0.4512,0.4316,0.0197
1/10251,SlightPalsy,81.271,0.151,0.1433,0.0077,0.9488,0.0561,0.3883,0.3833,0.005,0.4039,0.4301,0.0262,0.9391,0.7736,4.1588,0.6472,0.4509,0.4322,0.0187
1/10256,SlightPalsy,80.799,0.1538,0.1367,0.0171,0.8891,0.0992,0.4273,0.3629,0.0644,0.3972,0.4178,0.0207,0.9505,0.7964,7.1552,1.0251,0.4682,0.4286,0.0396
1/10266,SlightPalsy,82.311,0.1628,0.1486,0.0142,0.913,0.0847,0.4097,0.3677,0.042,0.3661,0.3858,0.0197,0.9489,0.7819,6.2218,0.6425,0.4614,0.4395,0.0219
1/10271,SlightPalsy,82.419,0.1677,0.1509,0.0167,0.9003,0.0749,0.43,0.3707,0.0593,0.3782,0.3938,0.0156,0.9604,0.8041,5.3459,0.114,0.468,0.4384,0.0295
1/10276,SlightPalsy,83.005,0.1607,0.1541,0.0066,0.9587,0.0649,0.4046,0.3856,0.019,0.3654,0.3855,0.0202,0.9477,0.793,4.6975,0.2452,0.4469,0.4397,0.0072
1/10281,SlightPalsy,82.187,0.1622,0.1511,0.0111,0.9318,0.0762,0.4007,0.3755,0.0252,0.3683,0.3825,0.0142,0.9629,0.7799,5.6053,0.1672,0.4506,0.4391,0.0115
1/10286,SlightPalsy,82.239,0.1588,0.1491,0.0097,0.9389,0.086,0.4226,0.3691,0.0535,0.3834,0.4114,0.0279,0.9321,0.7963,6.2027,0.6615,0.4618,0.4364,0.0254
1/10296,SlightPalsy,83.096,0.1552,0.1466,0.0086,0.9447,0.0057,0.347,0.3398,0.0071,0.3561,0.3905,0.0344,0.9119,0.6868,0.4758,0.4076,0.4498,0.4459,0.0039
1/10301,SlightPalsy,83.847,0.1677,0.1689,0.0012,0.9928,0.0232,0.3347,0.3872,0.0525,0.3293,0.3744,0.0451,0.8796,0.7223,1.8381,0.3155,0.4463,0.4672,0.021
1/10311,SlightPalsy,82.626,0.1376,0.1043,0.0333,0.7583,0.0971,0.3773,0.4052,0.0279,0.3973,0.4327,0.0354,0.9181,0.7884,7.0734,0.0984,0.4564,0.4473,0.0091
1/10316,SlightPalsy,78.022,0.1667,0.1536,0.0132,0.921,0.0934,0.3613,0.4291,0.0679,0.3812,0.4065,0.0253,0.9378,0.7959,6.7421,0.0588,0.4479,0.4514,0.0035
1/10331,SlightPalsy,80.211,0.1636,0.1517,0.0119,0.9271,0.1104,0.3606,0.4461,0.0854,0.389,0.4234,0.0344,0.9188,0.8142,7.7953,0.8763,0.4326,0.4489,0.0163
1/10336,SlightPalsy,80.522,0.1697,0.1468,0.0229,0.8652,0.1322,0.3599,0.4311,0.0712,0.3854,0.4091,0.0237,0.9422,0.8019,9.4855,0.4304,0.4482,0.4343,0.0139
1/10341,SlightPalsy,80.049,0.1766,0.1552,0.0213,0.8791,0.1391,0.4222,0.382,0.0402,0.3841,0.4073,0.0232,0.943,0.8161,9.817,0.3782,0.4595,0.4253,0.0342
1/10346,SlightPalsy,79.25,0.1664,0.1464,0.02,0.8801,0.1335,0.4328,0.3911,0.0417,0.4027,0.423,0.0203,0.9521,0.8347,9.205,0.6243,0.4522,0.4297,0.0225
1/10351,SlightPalsy,78.415,0.1635,0.1475,0.0159,0.9025,0.0928,0.4172,0.3696,0.0476,0.4036,0.4125,0.0089,0.9784,0.7922,6.7287,0.5946,0.4575,0.4314,0.026
1/10356,SlightPalsy,78.162,0.1578,0.1377,0.0201,0.8727,0.1156,0.4151,0.3944,0.0208,0.406,0.4069,0.0009,0.9979,0.8177,8.1285,0.0361,0.4514,0.4281,0.0233
1/10361,SlightPalsy,78.966,0.1543,0.1337,0.0206,0.8667,0.1145,0.3844,0.4304,0.046,0.3966,0.4045,0.0079,0.9806,0.8227,7.9996,0.4553,0.435,0.4392,0.0042
1/10366,SlightPalsy,77.257,0.1523,0.1319,0.0203,0.8664,0.0838,0.3364,0.5143,0.1779,0.3889,0.3994,0.0105,0.9737,0.8547,5.6258,0.464,0.4248,0.4701,0.0453
1/10371,SlightPalsy,76.464,0.1551,0.1317,0.0234,0.8492,0.0675,0.2918,0.4858,0.1941,0.3879,0.3935,0.0056,0.9858,0.7805,4.9644,0.386,0.4239,0.4675,0.0436
1/10376,SlightPalsy,78.264,0.1575,0.1403,0.0173,0.8904,0.0823,0.3034,0.4098,0.1063,0.4028,0.4083,0.0055,0.9866,0.7179,6.5835,0.1815,0.4398,0.4422,0.0023
1/10386,SlightPalsy,79.97,0.1032,0.0351,0.0681,0.3403,0.1088,0.3931,0.3431,0.05,0.4009,0.3945,0.0063,0.9842,0.7442,8.4064,0.3333,0.4525,0.432,0.0206
1/10391,SlightPalsy,77.681,0.1595,0.1292,0.0303,0.81,0.0987,0.411,0.3824,0.0286,0.3921,0.3978,0.0057,0.9856,0.7996,7.0902,1.1354,0.4626,0.4276,0.0349
1/10396,SlightPalsy,77.693,0.1514,0.1167,0.0347,0.7706,0.1333,0.3951,0.4026,0.0074,0.3907,0.3849,0.0058,0.9852,0.8088,9.4888,0.5643,0.4594,0.4322,0.0272
1/10401,SlightPalsy,79.035,0.1433,0.1085,0.0348,0.7574,0.1595,0.4333,0.3815,0.0518,0.3971,0.3951,0.002,0.9949,0.8302,11.0768,0.8762,0.452,0.4087,0.0433
1/10406,SlightPalsy,78.792,0.1622,0.1296,0.0326,0.799,0.1389,0.4042,0.4121,0.0079,0.3737,0.3705,0.0032,0.9915,0.828,9.6593,0.8889,0.4603,0.4319,0.0284
1/10416,SlightPalsy,78.595,0.1519,0.1153,0.0367,0.7587,0.1383,0.3779,0.4493,0.0714,0.3901,0.3985,0.0085,0.9788,0.8387,9.4902,0.5417,0.4412,0.432,0.0092
1/10421,SlightPalsy,78.343,0.1583,0.1407,0.0176,0.8886,0.0937,0.3984,0.3985,0.0001,0.4184,0.4575,0.0391,0.9145,0.8024,6.7049,0.4717,0.4531,0.4352,0.0179
1/10556,SlightPalsy,93.215,0.1431,0.1343,0.0088,0.9388,0.1048,0.4465,0.3851,0.0614,0.3919,0.4425,0.0506,0.8856,0.8382,7.1856,0.7399,0.44,0.416,0.024
1/10561,SlightPalsy,93.255,0.1505,0.1407,0.0099,0.9345,0.1152,0.4202,0.3957,0.0246,0.3929,0.4459,0.0529,0.8813,0.824,8.0344,0.738,0.4434,0.4192,0.0242
1/10566,SlightPalsy,93.241,0.15,0.1553,0.0053,0.9661,0.0449,0.4018,0.3459,0.0559,0.4099,0.456,0.0461,0.899,0.749,3.4391,0.5278,0.4493,0.4301,0.0192
1/10571,SlightPalsy,93.0,0.1502,0.1526,0.0024,0.9845,0.0557,0.4033,0.3817,0.0216,0.4132,0.4633,0.0501,0.8918,0.7871,4.0591,0.7452,0.4406,0.4288,0.0118
1/10576,StrongPalsy,92.733,0.151,0.1419,0.0091,0.9398,0.0893,0.4412,0.3887,0.0525,0.4265,0.4536,0.0272,0.9401,0.8347,6.1393,0.5778,0.4462,0.4243,0.0219
1/10581,SlightPalsy,91.511,0.1458,0.1395,0.0063,0.9567,0.0965,0.4327,0.3949,0.0378,0.4061,0.4477,0.0415,0.9072,0.8333,6.6524,1.0062,0.4426,0.4249,0.0177
1/10586,StrongPalsy,91.267,0.1469,0.1404,0.0065,0.9558,0.113,0.4318,0.3941,0.0377,0.3935,0.429,0.0354,0.9174,0.8336,7.7889,0.1693,0.4387,0.4223,0.0164
1/10591,StrongPalsy,89.564,0.1576,0.1486,0.0091,0.9425,0.0887,0.4286,0.3857,0.0429,0.3907,0.4333,0.0426,0.9016,0.8191,6.2146,0.6807,0.4469,0.423,0.0239
1/10596,SlightPalsy,86.768,0.1605,0.1483,0.0122,0.9242,0.1257,0.4023,0.4177,0.0154,0.3984,0.4387,0.0403,0.9081,0.8296,8.7171,0.3625,0.4466,0.4302,0.0164
1/10601,SlightPalsy,84.711,0.163,0.1521,0.011,0.9327,0.1216,0.4128,0.3944,0.0183,0.3899,0.4258,0.0359,0.9157,0.8163,8.566,0.5742,0.4518,0.4347,0.0171
1/10606,SlightPalsy,84.416,0.158,0.157,0.001,0.9938,0.0711,0.3905,0.3543,0.0361,0.4029,0.4303,0.0273,0.9365,0.7481,5.45,0.1207,0.4472,0.4308,0.0164
1/10611,SlightPalsy,83.913,0.153,0.1502,0.0028,0.9816,0.0505,0.4175,0.3507,0.0668,0.4146,0.438,0.0235,0.9465,0.7699,3.7633,0.9257,0.4517,0.4288,0.0229
1/10616,SlightPalsy,84.797,0.1479,0.1397,0.0082,0.9446,0.0415,0.4109,0.308,0.103,0.4234,0.4428,0.0194,0.9562,0.7201,3.3079,0.5791,0.4517,0.4211,0.0306
1/10621,SlightPalsy,87.692,0.1416,0.1306,0.0109,0.9227,0.0465,0.3724,0.2763,0.0961,0.4243,0.4224,0.0018,0.9957,0.6504,4.0997,0.5564,0.4533,0.4052,0.0481
1/10646,SlightPalsy,90.392,0.1516,0.1406,0.011,0.9277,0.0547,0.4126,0.3803,0.0323,0.4069,0.4249,0.018,0.9576,0.7947,3.95,0.5316,0.4549,0.422,0.0329
1/10686,SlightPalsy,86.598,0.1513,0.1329,0.0184,0.8787,0.083,0.44,0.3819,0.0581,0.4172,0.4422,0.025,0.9435,0.8261,5.7682,0.38,0.4528,0.4225,0.0303
1/10811,SlightPalsy,89.515,0.1627,0.1597,0.0029,0.982,0.0687,0.4095,0.3886,0.0209,0.4248,0.4702,0.0454,0.9035,0.801,4.923,0.7416,0.4558,0.4303,0.0255
1/10816,SlightPalsy,89.907,0.1643,0.165,0.0007,0.9958,0.039,0.4328,0.3498,0.0831,0.4172,0.4665,0.0493,0.8944,0.7836,2.8543,1.283,0.4553,0.4252,0.0301
1/10821,SlightPalsy,90.632,0.1596,0.172,0.0124,0.9281,0.0072,0.3882,0.3218,0.0664,0.4038,0.4568,0.053,0.8839,0.71,0.5773,0.8085,0.4534,0.436,0.0174
1/10831,SlightPalsy,89.579,0.1751,0.1778,0.0027,0.9848,0.0794,0.3738,0.3773,0.0034,0.3921,0.4411,0.049,0.889,0.7553,6.0308,0.7458,0.4536,0.4581,0.0045
1/10836,SlightPalsy,90.041,0.1709,0.1723,0.0014,0.9921,0.0626,0.3763,0.354,0.0223,0.4186,0.4542,0.0355,0.9217,0.733,4.8984,0.3175,0.4543,0.4374,0.0169
1/10851,SlightPalsy,94.842,0.1554,0.1601,0.0047,0.9705,0.0377,0.402,0.3781,0.024,0.4283,0.4753,0.047,0.9012,0.781,2.766,0.7112,0.4631,0.4393,0.0238
1/10856,SlightPalsy,93.926,0.159,0.1584,0.0006,0.9964,0.0853,0.4288,0.3368,0.092,0.4186,0.4588,0.0402,0.9124,0.7704,6.3537,0.6087,0.4609,0.4242,0.0366
1/10861,SlightPalsy,93.19,0.1627,0.1608,0.0019,0.9886,0.0572,0.4367,0.3566,0.0801,0.3997,0.4463,0.0466,0.8956,0.7954,4.1218,0.9132,0.4603,0.431,0.0293
1/10866,SlightPalsy,91.655,0.1615,0.159,0.0025,0.9847,0.0749,0.4292,0.3521,0.0772,0.405,0.4466,0.0416,0.9068,0.7849,5.4735,0.6383,0.4632,0.4259,0.0373
1/10876,SlightPalsy,86.415,0.1694,0.1633,0.0061,0.9638,0.0712,0.4225,0.3512,0.0713,0.3498,0.3876,0.0379,0.9023,0.777,5.2576,0.6742,0.4512,0.4172,0.034
1/10891,SlightPalsy,83.818,0.1763,0.1745,0.0018,0.9898,0.0689,0.4071,0.3935,0.0136,0.3572,0.3942,0.037,0.9061,0.8035,4.9164,0.5514,0.4578,0.4394,0.0185
1/10896,SlightPalsy,84.106,0.1584,0.1517,0.0067,0.9577,0.0546,0.3936,0.3701,0.0234,0.3857,0.4183,0.0326,0.9221,0.7656,4.091,0.8974,0.4539,0.4295,0.0245
1/10901,SlightPalsy,82.68,0.1576,0.1574,0.0002,0.9985,0.0163,0.3308,0.3386,0.0078,0.3908,0.4298,0.039,0.9094,0.6696,1.3966,0.5086,0.4527,0.4557,0.003
1/10906,SlightPalsy,81.759,0.1605,0.1443,0.0162,0.899,0.0936,0.366,0.4036,0.0377,0.4183,0.4425,0.0242,0.9452,0.7753,6.9357,0.3726,0.4493,0.431,0.0183
1/10911,SlightPalsy,82.352,0.1623,0.1468,0.0155,0.9046,0.107,0.4283,0.3583,0.07,0.4332,0.4488,0.0156,0.9653,0.7939,7.7433,0.3877,0.4563,0.4112,0.0451
1/10916,SlightPalsy,84.2,0.1531,0.1409,0.0122,0.9204,0.0525,0.4188,0.3674,0.0515,0.4284,0.445,0.0166,0.9626,0.7879,3.8224,0.5387,0.4493,0.4237,0.0256
1/10921,SlightPalsy,85.873,0.1549,0.1407,0.0142,0.9086,0.1072,0.3822,0.3702,0.0119,0.434,0.4411,0.0071,0.984,0.76,8.1091,0.0515,0.4432,0.4201,0.0231
1/10926,SlightPalsy,86.673,0.1507,0.1521,0.0014,0.991,0.0244,0.3714,0.3575,0.0139,0.4225,0.4443,0.0218,0.9509,0.7293,1.9198,0.3543,0.4454,0.4323,0.0131
1/10931,SlightPalsy,84.542,0.1586,0.1504,0.0081,0.9488,0.0573,0.4025,0.4019,0.0006,0.4184,0.4483,0.0299,0.9333,0.8065,4.0764,0.4851,0.4495,0.4452,0.0043
1/10936,SlightPalsy,82.242,0.1514,0.1539,0.0025,0.984,0.0399,0.3775,0.3713,0.0062,0.4297,0.4572,0.0275,0.94,0.7498,3.053,0.2229,0.439,0.4406,0.0016
1/10941,SlightPalsy,80.159,0.1531,0.1481,0.005,0.9671,0.0499,0.371,0.3871,0.0161,0.4238,0.4562,0.0324,0.929,0.7597,3.7653,0.4721,0.4252,0.4219,0.0033
1/10946,SlightPalsy,77.025,0.1528,0.153,0.0002,0.999,0.0291,0.416,0.3855,0.0305,0.4327,0.4767,0.044,0.9077,0.802,2.082,1.2134,0.4407,0.4313,0.0094
1/10961,SlightPalsy,75.891,0.1445,0.1322,0.0123,0.9151,0.0858,0.3989,0.4009,0.0021,0.4235,0.4417,0.0182,0.9589,0.8044,6.1243,0.2685,0.4328,0.4158,0.017
1/10976,SlightPalsy,85.085,0.1542,0.1397,0.0145,0.9058,0.101,0.3914,0.3772,0.0143,0.3893,0.42,0.0308,0.9267,0.7752,7.4832,0.8285,0.4426,0.4258,0.0168
1/10981,SlightPalsy,87.623,0.1656,0.145,0.0206,0.8756,0.1169,0.4072,0.4075,0.0003,0.3921,0.41,0.0179,0.9563,0.823,8.1631,0.229,0.4544,0.4276,0.0268
1/10986,SlightPalsy,88.039,0.1603,0.1495,0.0108,0.9324,0.0717,0.3976,0.4207,0.0231,0.3917,0.4122,0.0205,0.9502,0.8214,5.0062,0.6282,0.454,0.446,0.008
1/10991,SlightPalsy,88.371,0.1646,0.1569,0.0078,0.9528,0.0987,0.3948,0.4349,0.0401,0.3953,0.4188,0.0235,0.9439,0.8355,6.7817,0.6357,0.4491,0.4451,0.004
1/11001,SlightPalsy,89.363,0.1478,0.1385,0.0093,0.9372,0.0446,0.4196,0.383,0.0366,0.4163,0.4586,0.0423,0.9077,0.8038,3.1789,0.7795,0.4459,0.4212,0.0247
1/11006,StrongPalsy,89.055,0.1418,0.1236,0.0182,0.8716,0.0794,0.4376,0.3702,0.0674,0.3947,0.4265,0.0318,0.9255,0.8117,5.6142,0.2938,0.4498,0.4088,0.041
1/11011,SlightPalsy,89.3,0.1453,0.1236,0.0217,0.851,0.0559,0.4296,0.3771,0.0525,0.4085,0.4378,0.0293,0.9331,0.8087,3.9613,0.3446,0.4454,0.4092,0.0362
1/11016,SlightPalsy,87.049,0.145,0.1065,0.0385,0.7345,0.078,0.4376,0.3149,0.1228,0.4276,0.4278,0.0002,0.9995,0.7565,5.9147,0.3732,0.4797,0.4033,0.0765
1/11021,SlightPalsy,88.192,0.1472,0.1218,0.0254,0.8272,0.1121,0.4393,0.3998,0.0395,0.4047,0.421,0.0163,0.9612,0.8466,7.6123,0.3273,0.4427,0.4111,0.0316
1/11026,SlightPalsy,88.292,0.1453,0.1234,0.0219,0.8495,0.1019,0.4317,0.43,0.0017,0.424,0.4432,0.0192,0.9566,0.8677,6.7451,0.6601,0.4372,0.4172,0.02
1/11031,SlightPalsy,88.9,0.1529,0.1299,0.023,0.8493,0.1095,0.4365,0.3959,0.0406,0.4123,0.4291,0.0168,0.9609,0.8396,7.4941,0.9363,0.4539,0.4243,0.0296
1/11036,SlightPalsy,88.483,0.1583,0.1367,0.0216,0.8636,0.1045,0.4115,0.3896,0.0218,0.4029,0.4228,0.0199,0.9529,0.8079,7.4314,1.265,0.4519,0.4347,0.0172
1/11041,SlightPalsy,87.677,0.1476,0.1417,0.0059,0.9598,0.055,0.4095,0.3875,0.022,0.4064,0.4321,0.0257,0.9405,0.7989,3.9486,0.5576,0.4489,0.4323,0.0165
1/11061,SlightPalsy,84.605,0.1491,0.137,0.0122,0.9183,0.0822,0.3596,0.4571,0.0974,0.407,0.4288,0.0218,0.9491,0.8208,5.749,0.1584,0.4286,0.4445,0.016
1/11066,SlightPalsy,85.527,0.1538,0.1575,0.0036,0.9768,0.0194,0.3459,0.3539,0.0081,0.4065,0.4327,0.0262,0.9395,0.7,1.5904,0.1654,0.447,0.4406,0.0064
1/11086,SlightPalsy,84.507,0.1584,0.1489,0.0094,0.9403,0.0452,0.389,0.4085,0.0194,0.4145,0.4426,0.0282,0.9364,0.7988,3.2431,0.8104,0.4424,0.433,0.0094
1/11091,SlightPalsy,84.514,0.1639,0.1509,0.013,0.9208,0.1105,0.3757,0.4443,0.0686,0.4061,0.4277,0.0215,0.9496,0.8274,7.6736,0.0227,0.4511,0.445,0.006
1/11096,SlightPalsy,85.559,0.163,0.1513,0.0117,0.928,0.1052,0.391,0.4523,0.0613,0.4199,0.4369,0.017,0.9611,0.8498,7.1098,0.2545,0.4455,0.4463,0.0008
1/11101,SlightPalsy,87.033,0.1549,0.1439,0.011,0.9289,0.1115,0.4011,0.4291,0.028,0.4166,0.4303,0.0136,0.9683,0.8377,7.6469,0.4095,0.4362,0.4292,0.007
1/11106,SlightPalsy,87.346,0.1521,0.1391,0.013,0.9144,0.1067,0.4055,0.4041,0.0015,0.4106,0.424,0.0134,0.9684,0.8166,7.5046,0.3553,0.4407,0.4246,0.0161
